Order_Date,Alloy_Type,Quantity,Revenue,Customer_ID,Region,Industry,Product_Code
2023-01-03,Alloy D (Titanium),135,6223.5,CUST-1048,Western,Marine,PROD-014
2023-01-03,Alloy C (Copper),90,1884.6,CUST-1061,Northeastern,Electronics,PROD-003
2023-01-03,Alloy D (Titanium),152,7159.2,CUST-1024,Western,Aerospace,PROD-009
2023-01-04,Alloy E (Nickel),113,3260.05,CUST-1034,Southern,Chemical,PROD-010
2023-01-04,Alloy C (Copper),63,1374.66,CUST-1075,Western,Electronics,PROD-018
2023-01-04,Alloy D (Titanium),338,15956.98,CUST-1073,Southern,Marine,PROD-004
2023-01-04,Alloy A (Aluminum),513,7972.02,CUST-1024,Northeastern,Electronics,PROD-016
2023-01-04,Alloy B (Steel),297,2423.52,CUST-1013,Midwestern,Marine,PROD-017
2023-01-04,Alloy B (Steel),122,1078.48,CUST-1062,Western,Construction,PROD-017
2023-01-04,Alloy B (Steel),460,3749.0,CUST-1012,Northeastern,Construction,PROD-017
2023-01-04,Alloy A (Aluminum),83,1277.37,CUST-1018,Midwestern,Electronics,PROD-011
2023-01-04,Alloy E (Nickel),214,6454.24,CUST-1069,Northeastern,Chemical,PROD-015
2023-01-04,Alloy D (Titanium),323,13940.68,CUST-1023,Western,Marine,PROD-004
2023-01-04,Alloy E (Nickel),193,5755.26,CUST-1039,Southern,Electronics,PROD-010
2023-01-04,Alloy B (Steel),263,2140.82,CUST-1007,Western,Automotive,PROD-012
2023-01-04,Alloy C (Copper),180,3853.8,CUST-1066,Midwestern,Electronics,PROD-018
2023-01-04,Alloy C (Copper),343,7882.14,CUST-1065,Northeastern,Construction,PROD-008
2023-01-04,Alloy B (Steel),571,4887.76,CUST-1078,Northeastern,Marine,PROD-007
2023-01-04,Alloy D (Titanium),69,3049.11,CUST-1035,Southern,Aerospace,PROD-019
2023-01-04,Alloy E (Nickel),202,5835.78,CUST-1012,Northeastern,Electronics,PROD-020
2023-01-04,Alloy D (Titanium),350,15988.0,CUST-1012,Midwestern,Aerospace,PROD-019
2023-01-04,Alloy B (Steel),118,1006.54,CUST-1042,Northeastern,Automotive,PROD-017
2023-01-04,Alloy E (Nickel),111,3485.4,CUST-1008,Western,Aerospace,PROD-005
2023-01-04,Alloy B (Steel),93,783.06,CUST-1006,Northeastern,Construction,PROD-007
2023-01-04,Alloy C (Copper),81,1865.43,CUST-1040,Midwestern,Construction,PROD-003
2023-01-04,Alloy E (Nickel),144,4291.2,CUST-1019,Southern,Aerospace,PROD-010
2023-01-04,Alloy A (Aluminum),98,1452.36,CUST-1029,Northeastern,Aerospace,PROD-011
2023-01-04,Alloy A (Aluminum),106,1597.42,CUST-1001,Southern,Electronics,PROD-001
2023-01-04,Alloy E (Nickel),152,4646.64,CUST-1062,Southern,Chemical,PROD-005
2023-01-04,Alloy C (Copper),86,1819.76,CUST-1026,Northeastern,Construction,PROD-003
2023-01-04,Alloy D (Titanium),64,2982.4,CUST-1069,Northeastern,Aerospace,PROD-014
2023-01-04,Alloy E (Nickel),303,9368.76,CUST-1076,Western,Electronics,PROD-020
2023-01-04,Alloy D (Titanium),220,10034.2,CUST-1023,Western,Marine,PROD-004
2023-01-04,Alloy B (Steel),520,4420.0,CUST-1010,Northeastern,Automotive,PROD-002
2023-01-04,Alloy E (Nickel),550,17105.0,CUST-1004,Western,Chemical,PROD-005
2023-01-04,Alloy A (Aluminum),285,4297.8,CUST-1001,Western,Aerospace,PROD-016
2023-01-05,Alloy D (Titanium),80,3763.2,CUST-1078,Western,Aerospace,PROD-019
2023-01-05,Alloy B (Steel),63,515.97,CUST-1033,Western,Automotive,PROD-017
2023-01-05,Alloy A (Aluminum),187,2874.19,CUST-1006,Midwestern,Aerospace,PROD-016
2023-01-05,Alloy C (Copper),278,6274.46,CUST-1023,Western,Electronics,PROD-003
2023-01-05,Alloy C (Copper),247,5498.22,CUST-1062,Northeastern,Electronics,PROD-013
2023-01-05,Alloy C (Copper),211,4587.14,CUST-1049,Northeastern,Electronics,PROD-018
2023-01-05,Alloy C (Copper),645,13603.05,CUST-1065,Northeastern,Construction,PROD-018
2023-01-05,Alloy B (Steel),297,2554.2,CUST-1047,Northeastern,Marine,PROD-017
2023-01-05,Alloy B (Steel),82,663.38,CUST-1051,Midwestern,Marine,PROD-002
2023-01-05,Alloy A (Aluminum),155,2419.55,CUST-1030,Southern,Electronics,PROD-006
2023-01-05,Alloy E (Nickel),318,9441.42,CUST-1038,Western,Aerospace,PROD-020
2023-01-05,Alloy C (Copper),182,4113.2,CUST-1026,Midwestern,Construction,PROD-008
2023-01-05,Alloy C (Copper),147,3323.67,CUST-1005,Midwestern,Electronics,PROD-018
2023-01-05,Alloy A (Aluminum),81,1163.16,CUST-1077,Western,Aerospace,PROD-001
2023-01-05,Alloy D (Titanium),71,3283.75,CUST-1070,Northeastern,Marine,PROD-004
2023-01-05,Alloy A (Aluminum),487,6998.19,CUST-1069,Southern,Electronics,PROD-006
2023-01-05,Alloy B (Steel),125,1055.0,CUST-1074,Midwestern,Automotive,PROD-007
2023-01-05,Alloy C (Copper),78,1650.48,CUST-1058,Western,Construction,PROD-013
2023-01-05,Alloy D (Titanium),206,9698.48,CUST-1001,Midwestern,Aerospace,PROD-009
2023-01-05,Alloy B (Steel),64,565.12,CUST-1032,Western,Construction,PROD-012
2023-01-05,Alloy B (Steel),100,889.0,CUST-1056,Western,Construction,PROD-017
2023-01-05,Alloy E (Nickel),116,3652.84,CUST-1049,Western,Electronics,PROD-015
2023-01-05,Alloy C (Copper),113,2597.87,CUST-1057,Northeastern,Electronics,PROD-003
2023-01-05,Alloy C (Copper),222,4775.22,CUST-1076,Southern,Construction,PROD-008
2023-01-05,Alloy D (Titanium),101,4438.95,CUST-1008,Southern,Marine,PROD-004
2023-01-05,Alloy E (Nickel),261,7858.71,CUST-1064,Western,Chemical,PROD-005
2023-01-05,Alloy A (Aluminum),260,3733.6,CUST-1036,Northeastern,Electronics,PROD-011
2023-01-06,Alloy E (Nickel),199,5898.36,CUST-1040,Northeastern,Aerospace,PROD-015
2023-01-06,Alloy E (Nickel),123,3582.99,CUST-1074,Northeastern,Chemical,PROD-005
2023-01-06,Alloy B (Steel),210,1816.5,CUST-1017,Western,Construction,PROD-012
2023-01-06,Alloy C (Copper),207,4661.64,CUST-1018,Western,Electronics,PROD-003
2023-01-06,Alloy E (Nickel),216,6313.68,CUST-1052,Southern,Electronics,PROD-005
2023-01-06,Alloy D (Titanium),131,5834.74,CUST-1018,Midwestern,Marine,PROD-014
2023-01-06,Alloy A (Aluminum),114,1654.14,CUST-1075,Northeastern,Automotive,PROD-016
2023-01-06,Alloy D (Titanium),60,2753.4,CUST-1003,Midwestern,Aerospace,PROD-009
2023-01-06,Alloy A (Aluminum),347,5080.08,CUST-1075,Southern,Electronics,PROD-006
2023-01-06,Alloy A (Aluminum),273,4108.65,CUST-1062,Midwestern,Aerospace,PROD-006
2023-01-06,Alloy C (Copper),75,1593.0,CUST-1033,Southern,Electronics,PROD-013
2023-01-06,Alloy D (Titanium),270,12630.6,CUST-1056,Midwestern,Aerospace,PROD-014
2023-01-06,Alloy D (Titanium),256,11532.8,CUST-1047,Southern,Aerospace,PROD-009
2023-01-06,Alloy C (Copper),188,4310.84,CUST-1052,Western,Electronics,PROD-008
2023-01-06,Alloy D (Titanium),84,3941.28,CUST-1005,Western,Aerospace,PROD-019
2023-01-06,Alloy E (Nickel),222,6557.88,CUST-1069,Western,Electronics,PROD-010
2023-01-06,Alloy D (Titanium),186,8554.14,CUST-1028,Southern,Aerospace,PROD-014
2023-01-06,Alloy A (Aluminum),261,3789.72,CUST-1075,Midwestern,Automotive,PROD-016
2023-01-06,Alloy D (Titanium),411,18523.77,CUST-1025,Northeastern,Aerospace,PROD-004
2023-01-06,Alloy A (Aluminum),188,2808.72,CUST-1075,Midwestern,Electronics,PROD-011
2023-01-06,Alloy E (Nickel),193,5809.3,CUST-1022,Western,Aerospace,PROD-010
2023-01-06,Alloy B (Steel),80,668.8,CUST-1046,Southern,Automotive,PROD-012
2023-01-06,Alloy A (Aluminum),57,886.35,CUST-1048,Midwestern,Aerospace,PROD-011
2023-01-06,Alloy C (Copper),351,7602.66,CUST-1051,Western,Electronics,PROD-018
2023-01-07,Alloy A (Aluminum),129,1947.9,CUST-1060,Midwestern,Electronics,PROD-001
2023-01-07,Alloy E (Nickel),82,2373.9,CUST-1052,Northeastern,Chemical,PROD-015
2023-01-07,Alloy E (Nickel),68,2068.56,CUST-1076,Northeastern,Aerospace,PROD-015
2023-01-07,Alloy D (Titanium),26,1152.06,CUST-1036,Northeastern,Marine,PROD-019
2023-01-07,Alloy A (Aluminum),25,372.25,CUST-1074,Southern,Automotive,PROD-011
2023-01-07,Alloy D (Titanium),51,2296.53,CUST-1012,Midwestern,Marine,PROD-014
2023-01-07,Alloy D (Titanium),59,2726.98,CUST-1037,Western,Marine,PROD-004
2023-01-07,Alloy B (Steel),31,269.7,CUST-1070,Midwestern,Automotive,PROD-007
2023-01-07,Alloy A (Aluminum),25,362.5,CUST-1001,Midwestern,Automotive,PROD-011
2023-01-07,Alloy D (Titanium),101,4553.08,CUST-1057,Southern,Aerospace,PROD-004
2023-01-07,Alloy C (Copper),16,346.24,CUST-1021,Midwestern,Electronics,PROD-008
2023-01-07,Alloy E (Nickel),19,565.06,CUST-1026,Western,Aerospace,PROD-020
2023-01-07,Alloy A (Aluminum),32,491.52,CUST-1002,Southern,Electronics,PROD-011
2023-01-07,Alloy B (Steel),39,319.41,CUST-1043,Northeastern,Marine,PROD-017
2023-01-07,Alloy E (Nickel),18,541.98,CUST-1074,Western,Aerospace,PROD-010
2023-01-07,Alloy D (Titanium),18,837.54,CUST-1051,Southern,Aerospace,PROD-009
2023-01-07,Alloy E (Nickel),15,453.15,CUST-1055,Midwestern,Aerospace,PROD-005
2023-01-07,Alloy E (Nickel),116,3416.2,CUST-1078,Midwestern,Electronics,PROD-005
2023-01-07,Alloy E (Nickel),55,1655.5,CUST-1015,Northeastern,Chemical,PROD-010
2023-01-07,Alloy B (Steel),21,175.14,CUST-1036,Midwestern,Construction,PROD-007
2023-01-07,Alloy C (Copper),161,3616.06,CUST-1005,Northeastern,Construction,PROD-013
2023-01-07,Alloy E (Nickel),46,1408.52,CUST-1020,Western,Aerospace,PROD-020
2023-01-07,Alloy C (Copper),33,722.7,CUST-1003,Midwestern,Electronics,PROD-013
2023-01-07,Alloy E (Nickel),30,927.9,CUST-1010,Midwestern,Electronics,PROD-005
2023-01-07,Alloy A (Aluminum),19,284.24,CUST-1073,Midwestern,Aerospace,PROD-001
2023-01-07,Alloy A (Aluminum),19,295.07,CUST-1035,Midwestern,Automotive,PROD-006
2023-01-07,Alloy D (Titanium),44,2065.36,CUST-1038,Northeastern,Aerospace,PROD-014
2023-01-07,Alloy B (Steel),72,616.32,CUST-1035,Midwestern,Construction,PROD-012
2023-01-07,Alloy C (Copper),21,446.46,CUST-1014,Midwestern,Construction,PROD-008
2023-01-07,Alloy E (Nickel),67,2090.4,CUST-1018,Western,Chemical,PROD-010
2023-01-07,Alloy A (Aluminum),44,642.4,CUST-1023,Western,Electronics,PROD-006
2023-01-07,Alloy A (Aluminum),17,248.03,CUST-1066,Midwestern,Automotive,PROD-001
2023-01-07,Alloy B (Steel),70,620.9,CUST-1078,Southern,Construction,PROD-012
2023-01-08,Alloy B (Steel),37,303.03,CUST-1022,Western,Marine,PROD-007
2023-01-08,Alloy E (Nickel),30,862.8,CUST-1014,Southern,Chemical,PROD-005
2023-01-08,Alloy B (Steel),47,404.67,CUST-1014,Southern,Construction,PROD-017
2023-01-08,Alloy B (Steel),110,962.5,CUST-1030,Southern,Marine,PROD-017
2023-01-08,Alloy B (Steel),141,1229.52,CUST-1044,Western,Marine,PROD-002
2023-01-08,Alloy B (Steel),36,307.44,CUST-1005,Northeastern,Construction,PROD-012
2023-01-08,Alloy E (Nickel),88,2603.92,CUST-1011,Northeastern,Electronics,PROD-005
2023-01-08,Alloy D (Titanium),66,3092.1,CUST-1029,Northeastern,Marine,PROD-019
2023-01-08,Alloy E (Nickel),94,2713.78,CUST-1033,Midwestern,Chemical,PROD-010
2023-01-08,Alloy B (Steel),90,756.9,CUST-1078,Midwestern,Automotive,PROD-002
2023-01-08,Alloy E (Nickel),39,1158.3,CUST-1066,Southern,Electronics,PROD-015
2023-01-08,Alloy C (Copper),15,316.95,CUST-1059,Northeastern,Electronics,PROD-003
2023-01-08,Alloy A (Aluminum),100,1486.0,CUST-1055,Midwestern,Automotive,PROD-001
2023-01-08,Alloy C (Copper),111,2448.66,CUST-1010,Northeastern,Construction,PROD-003
2023-01-08,Alloy A (Aluminum),31,445.16,CUST-1063,Midwestern,Aerospace,PROD-006
2023-01-08,Alloy B (Steel),17,148.41,CUST-1030,Western,Marine,PROD-017
2023-01-08,Alloy C (Copper),83,1798.61,CUST-1051,Southern,Electronics,PROD-013
2023-01-08,Alloy E (Nickel),22,646.8,CUST-1063,Southern,Aerospace,PROD-020
2023-01-08,Alloy C (Copper),172,3768.52,CUST-1049,Western,Electronics,PROD-018
2023-01-08,Alloy E (Nickel),79,2317.07,CUST-1033,Southern,Aerospace,PROD-020
2023-01-08,Alloy E (Nickel),59,1723.39,CUST-1067,Western,Chemical,PROD-015
2023-01-09,Alloy E (Nickel),93,2683.05,CUST-1007,Western,Aerospace,PROD-015
2023-01-09,Alloy A (Aluminum),171,2493.18,CUST-1025,Northeastern,Automotive,PROD-006
2023-01-09,Alloy D (Titanium),64,2905.6,CUST-1026,Western,Aerospace,PROD-009
2023-01-09,Alloy B (Steel),166,1384.44,CUST-1026,Midwestern,Construction,PROD-017
2023-01-09,Alloy C (Copper),122,2771.84,CUST-1039,Midwestern,Electronics,PROD-018
2023-01-09,Alloy D (Titanium),240,11008.8,CUST-1021,Northeastern,Aerospace,PROD-019
2023-01-09,Alloy C (Copper),156,3399.24,CUST-1043,Western,Construction,PROD-003
2023-01-09,Alloy B (Steel),242,2105.4,CUST-1004,Midwestern,Construction,PROD-007
2023-01-09,Alloy A (Aluminum),149,2226.06,CUST-1042,Northeastern,Automotive,PROD-001
2023-01-09,Alloy B (Steel),139,1232.93,CUST-1013,Southern,Construction,PROD-002
2023-01-09,Alloy B (Steel),72,583.92,CUST-1029,Southern,Automotive,PROD-007
2023-01-09,Alloy B (Steel),197,1670.56,CUST-1031,Southern,Marine,PROD-017
2023-01-09,Alloy E (Nickel),92,2771.96,CUST-1055,Western,Aerospace,PROD-010
2023-01-09,Alloy D (Titanium),601,26191.58,CUST-1002,Northeastern,Marine,PROD-014
2023-01-09,Alloy E (Nickel),111,3359.97,CUST-1044,Northeastern,Chemical,PROD-005
2023-01-09,Alloy E (Nickel),68,2020.96,CUST-1041,Northeastern,Electronics,PROD-010
2023-01-09,Alloy A (Aluminum),76,1098.96,CUST-1076,Southern,Electronics,PROD-006
2023-01-09,Alloy A (Aluminum),213,3248.25,CUST-1040,Midwestern,Automotive,PROD-006
2023-01-09,Alloy B (Steel),149,1251.6,CUST-1045,Southern,Construction,PROD-007
2023-01-09,Alloy D (Titanium),483,20947.71,CUST-1044,Western,Aerospace,PROD-019
2023-01-09,Alloy B (Steel),352,3002.56,CUST-1037,Midwestern,Marine,PROD-002
2023-01-09,Alloy D (Titanium),218,10250.36,CUST-1059,Western,Aerospace,PROD-004
2023-01-09,Alloy E (Nickel),170,4982.7,CUST-1022,Northeastern,Aerospace,PROD-015
2023-01-09,Alloy E (Nickel),212,6254.0,CUST-1062,Northeastern,Chemical,PROD-015
2023-01-09,Alloy B (Steel),131,1104.33,CUST-1073,Western,Construction,PROD-002
2023-01-09,Alloy A (Aluminum),105,1625.4,CUST-1042,Northeastern,Aerospace,PROD-011
2023-01-09,Alloy D (Titanium),141,6211.05,CUST-1026,Midwestern,Aerospace,PROD-004
2023-01-10,Alloy C (Copper),181,4143.09,CUST-1045,Northeastern,Construction,PROD-018
2023-01-10,Alloy C (Copper),191,4354.8,CUST-1040,Northeastern,Construction,PROD-003
2023-01-10,Alloy A (Aluminum),86,1246.14,CUST-1019,Southern,Aerospace,PROD-001
2023-01-10,Alloy C (Copper),511,10797.43,CUST-1045,Midwestern,Electronics,PROD-013
2023-01-10,Alloy A (Aluminum),420,6535.2,CUST-1007,Northeastern,Aerospace,PROD-006
2023-01-10,Alloy B (Steel),124,1060.2,CUST-1013,Northeastern,Automotive,PROD-002
2023-01-10,Alloy B (Steel),298,2470.42,CUST-1002,Midwestern,Automotive,PROD-007
2023-01-10,Alloy C (Copper),189,4275.18,CUST-1060,Midwestern,Construction,PROD-008
2023-01-10,Alloy A (Aluminum),190,2981.1,CUST-1030,Midwestern,Electronics,PROD-006
2023-01-10,Alloy A (Aluminum),441,6941.34,CUST-1060,Western,Aerospace,PROD-006
2023-01-10,Alloy D (Titanium),80,3540.8,CUST-1023,Midwestern,Marine,PROD-019
2023-01-10,Alloy E (Nickel),276,8277.24,CUST-1072,Southern,Chemical,PROD-015
2023-01-10,Alloy E (Nickel),193,5550.68,CUST-1079,Western,Aerospace,PROD-010
2023-01-10,Alloy D (Titanium),139,6367.59,CUST-1073,Midwestern,Aerospace,PROD-014
2023-01-10,Alloy A (Aluminum),393,5871.42,CUST-1073,Western,Automotive,PROD-006
2023-01-10,Alloy C (Copper),85,1928.65,CUST-1062,Southern,Electronics,PROD-003
2023-01-10,Alloy B (Steel),184,1527.2,CUST-1020,Western,Automotive,PROD-017
2023-01-10,Alloy B (Steel),332,2858.52,CUST-1003,Southern,Automotive,PROD-017
2023-01-10,Alloy D (Titanium),90,3936.6,CUST-1074,Western,Aerospace,PROD-019
2023-01-10,Alloy B (Steel),144,1265.76,CUST-1071,Western,Marine,PROD-002
2023-01-10,Alloy B (Steel),214,1891.76,CUST-1063,Northeastern,Automotive,PROD-007
2023-01-10,Alloy B (Steel),108,926.64,CUST-1037,Midwestern,Construction,PROD-012
2023-01-10,Alloy C (Copper),209,4495.59,CUST-1018,Northeastern,Construction,PROD-018
2023-01-10,Alloy E (Nickel),164,4819.96,CUST-1049,Western,Chemical,PROD-005
2023-01-10,Alloy A (Aluminum),149,2217.12,CUST-1010,Northeastern,Automotive,PROD-016
2023-01-10,Alloy C (Copper),64,1457.28,CUST-1029,Midwestern,Electronics,PROD-003
2023-01-11,Alloy D (Titanium),75,3399.0,CUST-1041,Northeastern,Aerospace,PROD-019
2023-01-11,Alloy A (Aluminum),464,7117.76,CUST-1033,Western,Automotive,PROD-011
2023-01-11,Alloy B (Steel),767,6289.4,CUST-1072,Northeastern,Marine,PROD-002
2023-01-11,Alloy E (Nickel),97,2865.38,CUST-1054,Northeastern,Electronics,PROD-015
2023-01-11,Alloy C (Copper),168,3732.96,CUST-1064,Southern,Construction,PROD-018
2023-01-11,Alloy C (Copper),72,1560.24,CUST-1002,Northeastern,Electronics,PROD-008
2023-01-11,Alloy C (Copper),281,5923.48,CUST-1041,Midwestern,Construction,PROD-003
2023-01-11,Alloy D (Titanium),64,2929.28,CUST-1015,Southern,Marine,PROD-014
2023-01-11,Alloy C (Copper),444,9861.24,CUST-1061,Midwestern,Electronics,PROD-008
2023-01-11,Alloy D (Titanium),268,12507.56,CUST-1032,Midwestern,Aerospace,PROD-009
2023-01-11,Alloy C (Copper),127,2881.63,CUST-1062,Northeastern,Construction,PROD-018
2023-01-11,Alloy B (Steel),347,2935.62,CUST-1080,Midwestern,Automotive,PROD-007
2023-01-11,Alloy A (Aluminum),123,1933.56,CUST-1026,Western,Automotive,PROD-001
2023-01-11,Alloy B (Steel),100,821.0,CUST-1009,Northeastern,Automotive,PROD-012
2023-01-11,Alloy B (Steel),472,4200.8,CUST-1064,Midwestern,Construction,PROD-007
2023-01-11,Alloy E (Nickel),560,16240.0,CUST-1022,Western,Electronics,PROD-005
2023-01-11,Alloy E (Nickel),57,1726.53,CUST-1015,Southern,Aerospace,PROD-020
2023-01-11,Alloy B (Steel),166,1347.92,CUST-1017,Southern,Automotive,PROD-012
2023-01-11,Alloy C (Copper),249,5448.12,CUST-1014,Southern,Construction,PROD-018
2023-01-11,Alloy C (Copper),68,1544.28,CUST-1076,Northeastern,Electronics,PROD-003
2023-01-11,Alloy B (Steel),75,660.0,CUST-1029,Southern,Construction,PROD-002
2023-01-11,Alloy E (Nickel),117,3629.34,CUST-1029,Midwestern,Aerospace,PROD-015
2023-01-11,Alloy E (Nickel),106,3021.0,CUST-1032,Midwestern,Chemical,PROD-015
2023-01-11,Alloy B (Steel),150,1293.0,CUST-1021,Northeastern,Marine,PROD-012
2023-01-11,Alloy A (Aluminum),763,11338.18,CUST-1057,Midwestern,Aerospace,PROD-006
2023-01-11,Alloy A (Aluminum),95,1477.25,CUST-1034,Midwestern,Aerospace,PROD-006
2023-01-11,Alloy B (Steel),646,5316.58,CUST-1015,Southern,Marine,PROD-012
2023-01-11,Alloy B (Steel),160,1364.8,CUST-1053,Western,Marine,PROD-017
2023-01-11,Alloy E (Nickel),111,3479.85,CUST-1022,Southern,Chemical,PROD-015
2023-01-12,Alloy E (Nickel),79,2306.01,CUST-1078,Southern,Electronics,PROD-020
2023-01-12,Alloy A (Aluminum),564,8251.32,CUST-1020,Western,Electronics,PROD-001
2023-01-12,Alloy E (Nickel),243,7270.56,CUST-1037,Northeastern,Chemical,PROD-020
2023-01-12,Alloy B (Steel),403,3324.75,CUST-1044,Northeastern,Marine,PROD-017
2023-01-12,Alloy A (Aluminum),90,1294.2,CUST-1035,Midwestern,Automotive,PROD-001
2023-01-12,Alloy E (Nickel),87,2581.29,CUST-1002,Southern,Chemical,PROD-015
2023-01-12,Alloy C (Copper),575,12828.25,CUST-1043,Northeastern,Construction,PROD-018
2023-01-12,Alloy B (Steel),183,1531.71,CUST-1056,Midwestern,Marine,PROD-007
2023-01-12,Alloy A (Aluminum),119,1821.89,CUST-1023,Northeastern,Automotive,PROD-006
2023-01-12,Alloy E (Nickel),92,2823.48,CUST-1008,Northeastern,Electronics,PROD-010
2023-01-12,Alloy A (Aluminum),242,3804.24,CUST-1047,Western,Automotive,PROD-006
2023-01-12,Alloy A (Aluminum),256,3801.6,CUST-1051,Western,Automotive,PROD-001
2023-01-12,Alloy D (Titanium),127,5902.96,CUST-1074,Northeastern,Aerospace,PROD-014
2023-01-12,Alloy B (Steel),282,2309.58,CUST-1018,Midwestern,Construction,PROD-012
